Block Height,Mining Pool,Timestamp,Found In (min),Block Reward (BTC),Fees (BTC),Total Input (BTC),Size (MB),Tx Count
890869,"Foundry USA",2025-04-04T10:57:53.000Z,1,3.138,0.013,,0.23,308
890868,"SBI Crypto",2025-04-04T10:56:44.000Z,4,3.146,0.021,,0.49,872
890867,"Foundry USA",2025-04-04T10:53:11.000Z,2,3.137,0.012,,0.59,1624
890866,"F2Pool",2025-04-04T10:51:29.000Z,12,3.178,0.053,,1.62,2286
890865,"Binance Pool",2025-04-04T10:39:03.000Z,8,3.150,0.025,,1.12,1707
890864,"Luxor",2025-04-04T10:31:16.000Z,0,3.126,0.001,,0.14,80
890863,"Antpool",2025-04-04T10:30:58.000Z,2,3.134,0.009,,0.49,650
890862,"Antpool",2025-04-04T10:29:09.000Z,6,3.156,0.031,,1.33,2722
890861,"Luxor",2025-04-04T10:23:22.000Z,12,3.174,0.049,,1.67,2651
890860,"Foundry USA",2025-04-04T10:11:35.000Z,11,3.187,0.062,,1.50,2568
890859,"Foundry USA",2025-04-04T10:00:42.000Z,2,3.148,0.023,,1.71,959
890858,"Foundry USA",2025-04-04T09:58:53.000Z,26,3.212,0.087,,1.66,4213
890857,"ViaBTC",2025-04-04T09:32:50.000Z,8,3.161,0.036,,0.80,1711
890856,"ViaBTC",2025-04-04T09:25:18.000Z,8,3.166,0.041,,1.17,1854
890855,"SECPOOL",2025-04-04T09:16:50.000Z,7,3.151,0.026,,1.10,1819
890854,"ViaBTC",2025-04-04T09:09:38.000Z,2,3.140,0.015,,0.76,1866
890853,"ViaBTC",2025-04-04T09:07:15.000Z,2,3.145,0.020,,1.41,929
890852,"Foundry USA",2025-04-04T09:05:28.000Z,14,3.217,0.092,,1.69,3522
890851,"ULTIMUSPOOL",2025-04-04T08:51:41.000Z,17,3.238,0.113,,1.64,3029
890850,"Poolin",2025-04-04T08:34:12.000Z,7,3.157,0.032,,1.84,2120
890849,"ViaBTC",2025-04-04T08:27:15.000Z,4,3.146,0.021,,0.85,1805
890848,"Luxor",2025-04-04T08:23:03.000Z,2,3.139,0.014,,0.98,2417
890847,"Antpool",2025-04-04T08:20:45.000Z,0,3.125,,,0.00,1
890846,"F2Pool",2025-04-04T08:20:32.000Z,13,3.180,0.055,,1.51,2433
890845,"Antpool",2025-04-04T08:08:01.000Z,2,3.139,0.014,,1.39,2690
890844,"F2Pool",2025-04-04T08:06:28.000Z,12,3.170,0.045,,1.65,1923
